points_3game_avg,points_5game_avg,fga_3game_avg,game_number,def_rating,opp_pts_allowed,pace,is_home_game,target
7.666666666666667,7.666666666666667,6.666666666666667,3,115.4,0.0,103.58,0.0,0
8.333333333333334,8.0,5.666666666666667,4,115.4,0.0,103.58,0.0,0
8.333333333333334,8.8,5.666666666666667,5,115.4,0.0,103.58,0.0,1
8.0,8.0,6.0,6,115.4,0.0,103.58,0.0,0
7.0,6.8,5.0,7,115.4,0.0,103.58,0.0,1
5.0,7.2,3.6666666666666665,8,115.4,0.0,103.58,0.0,0
6.666666666666667,7.0,3.0,9,115.4,0.0,103.58,0.0,1
7.333333333333333,6.2,5.0,10,115.4,0.0,103.58,0.0,1
7.333333333333333,6.8,6.0,11,115.4,0.0,103.58,0.0,0
7.666666666666667,7.4,7.0,12,115.4,0.0,103.58,0.0,1
8.0,8.0,5.333333333333333,13,115.4,0.0,103.58,0.0,1
8.333333333333334,7.8,5.666666666666667,14,115.4,0.0,103.58,0.0,1
6.666666666666667,7.0,4.0,15,115.4,0.0,103.58,0.0,0
5.666666666666667,7.0,5.0,16,115.4,0.0,103.58,0.0,0
5.666666666666667,6.6,5.0,17,115.4,0.0,103.58,0.0,1
5.666666666666667,5.6,6.666666666666667,18,115.4,0.0,103.58,0.0,0
7.333333333333333,6.4,6.333333333333333,19,115.4,0.0,103.58,0.0,1
7.333333333333333,7.0,6.333333333333333,20,115.4,0.0,103.58,0.0,0
8.333333333333334,7.2,7.666666666666667,21,115.4,0.0,103.58,0.0,1
6.666666666666667,7.0,7.666666666666667,22,115.4,0.0,103.58,0.0,0
6.333333333333333,7.4,8.0,23,115.4,0.0,103.58,0.0,0
5.333333333333333,6.0,5.666666666666667,24,115.4,0.0,103.58,0.0,0
5.0,5.6,5.0,25,115.4,0.0,103.58,0.0,1
3.6666666666666665,4.6,4.333333333333333,26,115.4,0.0,103.58,0.0,0
5.333333333333333,5.2,5.333333333333333,27,115.4,0.0,103.58,0.0,1
7.0,6.0,7.0,28,115.4,0.0,103.58,0.0,1
8.666666666666666,6.6,6.666666666666667,29,115.4,0.0,103.58,0.0,0
8.333333333333334,7.2,7.0,30,115.4,0.0,103.58,0.0,1
6.333333333333333,7.6,5.333333333333333,31,115.4,0.0,103.58,0.0,0
4.666666666666667,6.2,4.333333333333333,32,115.4,0.0,103.58,0.0,0
2.3333333333333335,4.4,2.3333333333333335,33,115.4,0.0,103.58,0.0,0
1.6666666666666667,3.4,2.3333333333333335,34,115.4,0.0,103.58,0.0,0
2.3333333333333335,2.6,2.3333333333333335,35,115.4,0.0,103.58,0.0,1
5.666666666666667,4.0,3.6666666666666665,36,115.4,0.0,103.58,0.0,1
10.666666666666666,7.0,6.333333333333333,37,115.4,0.0,103.58,0.0,1
10.0,7.2,6.666666666666667,38,115.4,0.0,103.58,0.0,0
9.666666666666666,8.8,6.666666666666667,39,115.4,0.0,103.58,0.0,1
5.333333333333333,8.8,4.666666666666667,40,115.4,0.0,103.58,0.0,0
6.0,7.4,5.0,41,115.4,0.0,103.58,0.0,0
4.333333333333333,5.0,4.333333333333333,42,115.4,0.0,103.58,0.0,1
4.666666666666667,5.6,3.0,43,115.4,0.0,103.58,0.0,0
4.333333333333333,4.2,3.3333333333333335,44,115.4,0.0,103.58,0.0,0
3.6666666666666665,4.0,3.0,45,115.4,0.0,103.58,0.0,0
3.3333333333333335,4.0,4.333333333333333,46,115.4,0.0,103.58,0.0,1
3.0,3.4,4.333333333333333,47,115.4,0.0,103.58,0.0,0
3.6666666666666665,3.4,4.0,48,115.4,0.0,103.58,0.0,1
4.666666666666667,4.2,4.0,49,115.4,0.0,103.58,0.0,1
6.0,4.8,4.333333333333333,50,115.4,0.0,103.58,0.0,1
5.0,4.4,4.333333333333333,51,115.4,0.0,103.58,0.0,0
5.333333333333333,5.6,3.3333333333333335,52,115.4,0.0,103.58,0.0,1
5.0,5.6,3.6666666666666665,53,115.4,0.0,103.58,0.0,0
7.0,5.8,4.0,54,115.4,0.0,103.58,0.0,1
5.0,5.0,4.333333333333333,55,115.4,0.0,103.58,0.0,0
6.0,6.2,3.6666666666666665,56,115.4,0.0,103.58,0.0,1
7.333333333333333,7.0,6.0,57,115.4,0.0,103.58,0.0,1
7.333333333333333,6.4,6.0,58,115.4,0.0,103.58,0.0,0
